instant_hourly,dteday,season_hourly,yr_hourly,mnth_hourly,hr,holiday_hourly,weekday_hourly,workingday_hourly,weathersit_hourly,temp_hourly,atemp_hourly,hum_hourly,windspeed_hourly,casual_hourly,registered_hourly,cnt_hourly,instant_daily,season_daily,yr_daily,mnth_daily,holiday_daily,weekday_daily,workingday_daily,weathersit_daily,temp_daily,atemp_daily,hum_daily,windspeed_daily,casual_daily,registered_daily,cnt_daily,recency
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,730
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,729
